uf,initials,region
Rio Grande do Sul,RS,Regiao Sul
Santa Catarina,SC,Regiao Sul
Parana,PR,Regiao Sul
Amapa,AP,Regiao Norte
Amazonas,AM,Regiao Norte
Roraima,RR,Regiao Norte
Para,PA,Regiao Norte
Rondônia,RO,Regiao Norte
Tocantins,TO,Regiao Norte
Acre,AC,Regiao Norte
Espirito Santo,ES,Regiao Sudeste
Minas Gerais,MG,Regiao Sudeste
Rio de Janeiro,RJ,Regiao Sudeste
Sao Paulo,SP,Regiao Sudeste
Alagoas,AL,Regiao Nordeste
Ceara,CE,Regiao Nordeste
Rio Grande do Norte,RN,Regiao Nordeste
Paraiba,PB,Regiao Nordeste
Sergipe,SE,Regiao Nordeste
Bahia,BA,Regiao Nordeste
Piaui,PI,Regiao Nordeste
Maranhao,MA,Regiao Nordeste
Pernambuco,PE,Regiao Nordeste
Goias,GO,Regiao Centro-Oeste
Distrito Federal,DF,Regiao Centro-Oeste
Mato Grosso do Sul,MS,Regiao Centro-Oeste
Mato Grosso,MT,Regiao Centro-Oeste
